Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
CO,250,IAH,RDU,1,1145,149,1
WN,1814,MCO,MHT,5,1160,165,1
OH,6255,CVG,DTW,1,710,85,0
WN,5,DAL,HOU,2,480,60,1
OO,6648,CWA,ORD,3,801,68,1
WN,1723,SAN,PHX,3,1125,70,1
OO,6464,DEN,BZN,5,677,113,0
AA,2097,DFW,SAT,2,635,65,1
AA,578,SJC,DFW,6,515,210,1
OO,6834,COS,ORD,7,360,146,1
WN,707,BUR,PHX,4,1085,80,1
XE,3097,IND,IAH,5,915,155,1
XE,2866,CLE,MKE,5,760,82,0
WN,1945,SEA,DEN,7,365,160,0
OH,6380,CVG,EWR,1,810,124,1
9E,4099,DAY,DTW,7,660,79,0
US,460,LAS,PHX,1,400,74,0
WN,3494,LAX,SLC,4,485,105,1
WN,2631,LAS,SMF,1,1145,95,1
US,1044,TPA,PHL,2,985,149,0
WN,3936,ONT,LAS,7,1200,55,0
FL,633,BWI,DAY,5,630,90,0
WN,2,DAL,LIT,4,480,60,0
FL,962,BOS,CAK,6,1125,113,1
XE,2711,CLE,LGA,2,515,84,0
WN,2794,OAK,SLC,5,805,100,1
EV,5034,ATL,VLD,5,592,73,0
FL,500,LGA,MKE,4,719,143,0
FL,460,ATL,BWI,7,545,105,0
CO,605,OKC,IAH,2,380,80,0
AS,55,ANC,FAI,1,360,58,0
CO,353,GUC,IAH,6,850,139,1
WN,1084,RDU,MCO,3,1050,105,0
AA,349,FLL,DFW,1,950,195,1
EV,5389,DTW,TUL,4,1200,155,1
UA,899,MSP,ORD,7,1080,84,0
DL,2941,ATL,SAT,4,825,160,0
WN,2712,MDW,SEA,2,1145,285,1
YV,2694,PHX,AUS,4,965,132,0
US,491,DEN,PHX,6,1100,117,0
OO,4473,ABQ,SLC,2,1040,99,0
WN,1089,SLC,DEN,2,380,95,0
AA,1898,ELP,DFW,6,720,100,0
OH,6680,DTW,GSO,5,605,113,0
DL,1820,LAX,MEM,5,100,215,0
WN,464,PVD,PHL,1,460,85,0
WN,1467,LAS,ONT,3,695,60,1
MQ,3970,ORD,BWI,5,465,115,1
DL,2783,BDL,ATL,2,628,161,0
WN,2319,PBI,ISP,6,470,160,0
OO,4820,LAX,LAS,6,465,70,0
US,1602,TPA,CLT,3,1035,102,0
XE,2370,EWR,MSP,2,545,204,0
MQ,3033,LAX,SBA,1,630,40,0
MQ,3999,FAR,ORD,2,1000,130,0
OO,6236,FAT,LAS,4,631,79,0
XE,5906,DSM,ORD,7,894,81,1
DL,1745,DTW,MSP,7,815,118,0
US,65,ORD,CLT,5,850,109,0
DL,2290,ATL,IND,2,520,107,0
9E,4235,STL,MEM,3,390,78,0
YV,2697,AUS,PHX,5,1124,156,0
AA,2328,DFW,ORD,6,475,140,0
YV,2818,FAT,PHX,6,975,99,0
UA,628,ORD,DCA,4,1260,102,0
B6,1208,RSW,HPN,6,1130,160,0
OH,6553,LEX,DCA,7,405,108,0
DL,2512,ATL,ORD,1,960,129,1
MQ,4114,PIT,ORD,6,360,105,0
CO,1830,IAH,PBI,2,1160,142,1
WN,1015,BWI,PVD,1,715,70,1
OO,6426,SMF,SFO,3,737,49,0
UA,332,SMF,ORD,2,853,245,1
WN,1675,ABQ,SLC,7,990,95,1
WN,424,ABQ,TUS,5,955,70,1
WN,1629,PHX,HOU,6,945,145,1
UA,667,LGA,ORD,3,486,157,0
CO,8,EWR,BOS,7,1075,74,0
WN,1060,LAX,SJC,3,365,65,1
EV,5505,ATL,LIT,3,970,102,1
CO,408,IAH,EWR,2,470,206,0
AA,2548,MCO,JFK,2,955,160,1
OO,6819,DEN,HLN,7,1295,114,0
WN,141,MDW,MSY,4,1240,140,1
DL,1515,ATL,MSY,7,890,100,0
DL,2361,PHL,ATL,6,540,145,1
DL,2105,TPA,MSP,6,480,207,0
XE,2316,ABQ,IAH,5,670,117,0
WN,632,BOS,MDW,4,1145,175,1
B6,596,MCO,HPN,5,989,151,1
AA,271,MIA,LAX,4,640,345,1
AA,1290,STX,MIA,7,1050,185,0
UA,506,SFO,PHX,4,360,120,1
OO,6869,ORD,ASE,4,895,170,1
US,70,SEA,PHL,1,1330,297,1
AS,50,BRW,ANC,4,1126,111,1
OH,6467,BOS,JFK,4,720,83,0
EV,5293,BQK,ATL,7,455,80,0
EV,5530,GTR,ATL,3,667,73,1
MQ,4223,ROC,ORD,1,360,125,1
B6,992,PBI,JFK,7,990,160,0
WN,1069,CMH,MCO,3,785,135,0
AA,1990,MIA,MCO,4,965,60,0
OO,6962,ORD,MKE,2,430,42,1
WN,1605,SJC,BUR,3,1130,60,1
DL,1425,BWI,ATL,7,975,120,1
MQ,4250,AVP,ORD,1,410,135,0
WN,1128,PHL,BNA,1,955,145,1
9E,3672,LBB,MEM,6,705,115,1
US,1170,CLT,PIT,3,895,87,1
MQ,2830,PNS,DFW,1,385,125,0
OO,6821,SFO,RDD,1,491,69,0
OH,6758,DTW,TYS,3,910,98,0
AA,1462,ORD,EWR,5,530,125,0
9E,3964,ALB,JFK,4,365,90,0
DL,2169,ATL,MCO,6,660,94,0
DL,1171,PIT,ATL,7,1046,127,1
OO,4676,BNA,MSP,5,360,144,0
AS,152,ANC,OME,4,660,94,1
CO,767,IAH,SEA,2,900,281,1
WN,1511,DEN,PHX,3,955,115,1
MQ,3635,MIA,CLT,6,680,125,0
9E,4179,MSP,DSM,2,615,71,0
AS,457,LAX,SEA,7,1050,165,0
CO,759,DCA,IAH,4,360,208,1
WN,530,DEN,MDW,5,750,140,1
9E,4251,RDU,CVG,7,405,99,1
OO,6257,FAT,SFO,4,850,54,0
B6,144,PBI,JFK,5,1130,158,0
XE,2853,DAY,EWR,4,373,113,0
EV,5325,ATL,LYH,2,725,76,0
WN,359,TUS,LAS,7,1005,80,1
DL,1561,PHL,ATL,5,840,147,0
US,2166,DCA,LGA,1,600,80,1
HA,391,ITO,HNL,3,1221,49,0
XE,2792,IAH,TUL,1,535,85,0
DL,2157,SLC,SEA,1,686,131,1
9E,3891,DTW,ROC,3,630,80,1
MQ,3382,DFW,CID,1,1150,120,1
B6,714,SJU,JFK,6,360,240,1
US,46,PHX,DCA,2,950,243,0
OO,6228,ELP,DEN,3,453,116,0
9E,3920,IAD,DTW,7,365,105,0
OH,6327,CLT,CVG,5,420,101,0
US,471,LAS,SFO,4,990,95,0
WN,736,SAT,HOU,4,1015,50,0
XE,2144,EWR,ROC,3,1020,84,1
AA,2034,PHX,DFW,1,1050,130,1
OO,4476,SLC,GEG,6,915,106,0
DL,2259,MSP,SLC,4,675,179,1
EV,5008,CVG,EWR,2,450,118,1
US,769,PHL,BOS,3,855,82,0
WN,1839,IAD,MDW,3,395,120,0
US,1885,PHL,FLL,3,470,180,0
US,11,ORD,CLT,4,570,108,0
CO,1891,HDN,IAH,1,860,154,0
AS,508,SEA,SNA,2,750,162,1
MQ,2781,DFW,GRR,3,1170,145,1
DL,1169,FLL,LAX,3,445,350,0
OH,6405,GSO,ATL,7,370,93,0
FL,39,MDW,ATL,3,879,112,0
AA,1085,DFW,STL,5,1140,95,1
MQ,3672,SDF,MIA,6,435,155,1
WN,1609,LAS,SAT,2,1170,145,1
OO,6589,ASE,IAH,7,700,150,0
WN,2403,TPA,BWI,6,750,130,1
AA,440,DFW,OMA,2,1115,105,1
WN,1104,PHL,MHT,4,895,75,1
AS,368,SEA,SMF,7,630,106,0
AA,1826,PSP,DFW,3,885,170,0
WN,190,OAK,SEA,7,930,120,1
US,1701,CLT,DCA,7,700,80,0
WN,961,PHX,ONT,4,590,75,1
XE,2219,CLE,TYS,5,750,79,1
HA,40,OGG,PDX,2,855,315,1
XE,2331,BNA,IAH,2,1093,132,0
US,679,PHX,BOI,6,645,127,1
AA,1371,IAD,DFW,3,615,215,1
WN,414,SDF,MDW,3,400,75,0
CO,1548,IAH,FLL,4,790,144,1
XE,2305,IAH,DFW,1,473,73,0
9E,3770,MQT,DTW,7,635,85,0
OO,6376,DEN,ASE,5,1120,45,1
US,997,PIT,CLT,5,730,93,1
WN,1639,PVD,FLL,5,550,205,0
CO,461,PHX,IAH,2,675,154,0
DL,201,ATL,MCO,2,480,86,1
XE,2914,MCI,EWR,2,1050,160,1
WN,254,MCO,ALB,6,740,160,0
AA,1720,SEA,DFW,5,505,230,0
AS,201,SJC,PDX,6,1145,108,1
DL,1238,AUS,ATL,7,785,132,1
XE,2684,MEM,IAH,5,390,104,0
WN,479,PVD,BWI,3,1020,85,1
MQ,4288,DTW,ORD,3,1225,80,1
EV,5265,SYR,DTW,6,360,115,1
9E,4399,FSD,MSP,2,665,66,0
AA,521,MIA,DEN,3,945,265,1
9E,4212,LAN,DTW,6,495,60,0
WN,254,LAS,ABQ,2,650,85,1
WN,2209,SEA,SMF,2,420,105,1
MQ,3253,DFW,CLL,6,640,55,1
OH,6412,STL,MSP,1,1002,98,0
YV,1025,KOA,HNL,4,845,40,0
DL,1409,MSP,DEN,1,810,128,1
AA,1879,TPA,MIA,7,585,65,0
YV,2686,SDF,CLT,7,1198,93,0
B6,590,PBI,HPN,1,900,162,0
EV,5018,ATL,BMI,4,520,115,0
EV,7080,IAD,DTW,3,1325,95,1
OO,6479,DEN,BUR,3,1135,148,0
XE,2564,MSP,CLE,7,1085,100,1
WN,2459,OKC,DEN,4,390,100,0
9E,3927,MEM,DSM,5,1165,104,0
B6,9,JFK,FLL,6,940,199,0
EV,5573,ATL,XNA,2,905,122,0
WN,1812,PHL,BOS,4,745,80,0
FL,478,ATL,BWI,5,1335,104,0
DL,2291,ATL,TPA,1,450,85,0
9E,3927,MEM,DSM,5,1165,104,0
FL,1033,RSW,PIT,3,960,150,0
AA,849,MIA,SFO,2,485,380,0
US,1596,DFW,PHL,5,665,187,1
WN,436,SAT,ELP,4,1250,90,1
AA,1575,MCO,DFW,2,1110,180,1
EV,4975,ATL,CVG,3,445,85,0
FL,1411,CAK,RSW,4,425,174,0
HA,166,HNL,OGG,7,740,38,0
B6,35,JFK,PBI,1,1270,176,0
AA,1272,PSP,DFW,6,720,165,1
US,1183,PHL,DFW,2,845,232,1
DL,2533,BOS,MCO,2,420,205,0
FL,39,MDW,ATL,2,879,112,0
AA,1461,MCO,DFW,1,415,185,1
OO,6753,LAX,CLD,3,1110,41,1
9E,3792,DTW,MBS,3,830,46,0
EV,5149,OKC,MEM,5,370,95,0
AS,55,BRW,ANC,4,671,111,0
AA,583,MIA,STL,5,885,170,0
YV,2896,PHX,DRO,3,965,104,0
AA,1164,DFW,MSY,2,420,80,0
XE,2500,ELP,IAH,4,775,114,0
MQ,3610,BHM,MIA,2,785,110,0
DL,1292,SAN,ATL,4,663,247,1
WN,2885,SAN,SMF,7,750,95,1
AA,1887,DFW,LAS,4,395,175,0
AA,2428,DFW,AUS,6,900,60,1
EV,4992,BQK,ATL,5,770,79,0
WN,174,ABQ,LAS,3,525,100,1
DL,1032,SNA,SLC,2,1095,105,1
XE,2466,MAF,IAH,4,1110,84,0
9E,3713,DTW,FWA,2,1170,61,1
AS,730,ANC,SEA,3,365,205,1
OO,6642,MOD,SFO,7,360,38,0
MQ,2951,CRP,DFW,4,1050,80,0
DL,1219,DTW,MSP,7,575,130,1
WN,3771,PHX,ELP,5,1110,65,1
XE,2532,MSY,EWR,7,584,175,0
AS,610,SEA,LAS,2,755,151,1
FL,277,BOS,ATL,2,1118,172,1
MQ,2938,GRK,DFW,3,805,50,0
WN,255,HOU,CRP,5,1050,50,1
FL,677,MKE,MCO,1,977,164,0
EV,4952,ATL,SAV,6,660,71,1
OO,6923,PAH,ORD,6,360,78,0
WN,869,DEN,LAX,1,590,155,1
AS,600,SEA,LAS,4,360,142,0
CO,1076,EWR,RSW,7,625,198,0
AA,2334,DFW,ORD,4,630,135,0
AA,791,LGA,DFW,4,1229,245,1
OO,6219,SJC,LAX,2,613,77,0
WN,688,BWI,BNA,6,555,120,1
DL,1484,DTW,EWR,3,1065,124,1
B6,1200,RSW,BUF,2,1235,162,0
UA,956,DEN,ORD,3,713,144,1
OO,6996,CVG,DEN,1,986,194,0
OO,6860,ABQ,DEN,2,595,76,1
MQ,2820,ACT,DFW,2,525,45,0
WN,533,HOU,LAS,7,405,205,0
US,1266,ATL,PHL,5,770,124,0
AA,2464,ONT,DFW,6,530,175,0
AA,491,OKC,DFW,5,635,60,0
MQ,3035,LAX,SBA,1,1290,40,0
MQ,2967,DFW,BTR,1,845,80,0
XE,2546,CLE,MSP,2,1000,124,0
UA,484,DEN,DCA,6,645,197,0
WN,1736,OAK,LAX,6,455,75,0
AA,817,BNA,DFW,2,370,130,1
YV,2609,CLT,BNA,3,800,90,0
YV,2757,PHX,BUR,7,1067,89,0
MQ,2721,DFW,ABI,4,1065,50,0
AA,370,ORD,LGA,1,795,125,1
AA,1272,PSP,DFW,3,720,165,0
DL,1024,ATL,CLT,4,585,85,0
AA,710,DFW,LGA,1,555,200,0
DL,1690,ATL,BDL,1,745,142,1
XE,2720,ICT,IAH,2,1112,104,0
WN,724,DEN,MSY,1,620,155,1
OH,6497,BNA,MEM,5,690,69,0
OO,6497,FCA,DEN,6,428,130,0
HA,506,HNL,OGG,7,860,39,0
US,1982,CLT,BOS,1,475,123,0
MQ,2920,CMI,DFW,1,440,145,0
MQ,4482,RDU,DCA,3,500,60,0
US,1694,TPA,PHL,2,475,148,0
OO,4860,SLC,ORD,6,1025,195,1
WN,941,BWI,CLE,2,850,75,1
FL,794,STL,ATL,4,1035,96,0
XE,5935,ORD,BUF,7,983,88,0
CO,1562,IAH,RSW,1,819,127,0
F9,662,SFO,DEN,3,1135,139,1
MQ,4657,ATL,LGA,2,780,125,0
WN,3483,BUR,SMF,1,1275,75,1
EV,7135,GSO,IAD,1,370,70,1
UA,727,IAD,TPA,3,1324,145,0
9E,4243,BDL,CVG,7,345,147,0
DL,2744,MSP,TPA,7,1135,185,1
DL,1988,LAS,MEM,4,750,196,0
UA,408,SNA,DEN,2,804,139,0
MQ,3323,DFW,GRK,4,640,50,1
XE,3030,CRP,IAH,2,388,59,0
XE,2788,CVG,EWR,5,380,112,0
AA,1506,MIA,BOS,6,820,185,1
US,622,PHX,LAS,6,965,70,1
UA,219,IAD,SFO,4,877,368,1
XE,3005,IAH,CRP,2,1055,59,0
CO,1434,PHX,EWR,3,720,276,1
DL,1301,IND,ATL,1,360,105,0
EV,5614,ATL,MDT,4,1247,104,0
EV,5331,MEM,LIT,5,890,54,0
XE,2065,IAH,RIC,1,625,158,1
WN,2145,LAS,BOI,5,905,110,1
EV,5611,ATL,GNV,5,505,78,1
US,678,PHX,BOI,6,1090,126,0
B6,346,SRQ,JFK,1,705,159,0
YV,2655,CLT,MYR,3,1345,60,0
AA,785,DFW,MSY,5,1305,75,0
AS,357,OAK,SEA,2,540,122,1
AA,358,ORD,LGA,2,940,130,1
WN,508,LAS,OAK,3,660,95,1
CO,1601,EWR,FLL,3,890,182,1
WN,1180,ONT,PHX,5,960,75,1
EV,7127,IAD,HSV,2,1014,120,1
XE,2443,EWR,RIC,2,782,84,0
B6,1223,BOS,RDU,2,480,125,0
UA,678,ORD,LGA,3,660,132,0
YV,2642,MEM,CLT,7,865,101,0
B6,271,LAS,BUR,5,1177,63,0
WN,238,SMF,PDX,1,1020,90,0
MQ,3302,MLI,DFW,3,380,140,0
US,1904,CLT,PIT,5,480,85,0
CO,1121,BOS,EWR,3,390,83,0
CO,479,IAH,SAT,1,1160,66,1
WN,675,ELP,DAL,5,1115,90,0
UA,936,DEN,IAD,7,710,195,0
UA,329,DEN,PHX,2,1154,119,0
AA,436,SNA,DFW,3,650,170,0
UA,111,SFO,LAX,5,770,98,1
YV,1015,KOA,HNL,2,765,40,0
OO,4529,OMA,SLC,2,380,156,0
DL,2735,MSP,HNL,2,705,535,0
US,720,MIA,CLT,5,890,124,0
AA,30,LAX,JFK,7,1425,314,1
YV,2721,PHX,SBA,5,885,93,0
AA,1364,LAX,ORD,3,420,250,0
US,9,PHX,ORD,3,1175,194,0
MQ,4162,ORD,RIC,7,765,115,0
AA,443,LGA,MIA,1,1100,205,0
EV,5549,AVL,ATL,7,1095,72,0
WN,1240,MDW,PIT,7,1175,80,0
CO,1678,SAT,IAH,6,1030,60,1
XE,2325,EWR,GSO,2,1020,102,1
US,574,PHX,TPA,3,965,226,0
OO,6479,DEN,BUR,1,1135,148,1
WN,1141,BWI,BOS,1,980,85,1
YV,2778,PHX,PSP,7,1095,92,0
WN,1807,SAN,DEN,6,390,145,1
XE,2649,PIT,IAH,7,892,200,1
OO,6386,SFO,BOI,3,959,92,0
WN,1609,SAN,LAS,3,1070,70,1
FL,206,CAK,ATL,2,1177,112,1
9E,3715,DTW,ORF,3,1300,111,1
YV,2689,CLT,SDF,4,1074,93,1
WN,1081,ONT,OAK,6,1090,75,1
XE,2280,IAH,PNS,5,1165,86,0
XE,5996,CAK,ORD,4,360,95,0
DL,1886,ATL,LGA,5,640,136,0
WN,863,MSY,HOU,3,385,75,0
WN,55,ELP,DAL,4,1030,85,1
WN,1141,LIT,BWI,1,755,130,1
WN,49,PHX,ABQ,7,830,65,1
DL,2774,MSP,MEM,7,795,125,1
WN,2265,GEG,BOI,1,710,60,0
US,1093,RDU,PHL,5,695,83,1
OO,4557,SLC,GJT,6,820,59,1
FL,155,IND,BWI,5,360,100,0
AA,865,AUS,DFW,2,655,65,0
AA,1843,BOS,ORD,3,360,175,0
B6,907,JFK,ORD,2,535,164,1
F9,264,DEN,SNA,6,990,142,1
DL,1154,ATL,JFK,2,1300,135,0
HA,8,HNL,LAS,5,1375,345,0
MQ,2775,DFW,ROW,2,1200,90,0
XE,2636,SAT,IAH,5,711,59,0
DL,2171,SLC,PHX,6,840,97,1
B6,277,FLL,SFO,4,1022,380,0
FL,18,BWI,SJU,4,681,249,1
US,652,PHX,SNA,4,525,81,0
AA,2442,LAX,DFW,7,705,190,1
OO,7042,DEN,SGF,5,1164,105,0
AA,532,DFW,RDU,1,370,145,0
DL,1509,MSP,DEN,1,555,125,0
AS,463,LAX,SEA,2,1170,162,0
OH,6296,MKE,CVG,3,720,83,0
MQ,2764,MGM,DFW,3,1030,130,1
FL,171,ATL,RSW,6,1335,102,0
OO,4819,GJT,SLC,7,1094,61,1
OO,6617,OKC,DEN,4,585,106,0
AA,298,HNL,LAX,1,1335,305,0
US,1274,PHL,IND,3,610,137,1
UA,737,DEN,SFO,5,1055,167,1
CO,1780,SEA,EWR,5,675,312,0
FL,96,RDU,ATL,1,375,85,0
UA,845,SAN,ORD,7,679,237,1
UA,651,ORD,SAN,5,1211,265,0
WN,1180,PHX,ABQ,7,1130,65,0
DL,2004,FLL,DTW,4,740,187,1
UA,796,RDU,IAD,5,373,69,1
AA,12,SFO,JFK,6,565,334,0
WN,1079,SAT,ELP,3,1120,95,1
OH,6519,EWR,CVG,1,1170,140,0
DL,1843,JFK,SEA,4,1050,380,1
B6,1082,CLT,JFK,4,659,107,1
FL,1451,PBI,HPN,4,908,166,0
CO,477,RSW,EWR,6,665,166,0
OO,6409,LAX,SBP,7,1183,54,1
9E,3794,DTW,IND,3,450,86,1
WN,1914,SNA,SFO,2,930,80,1
EV,5095,ATL,BNA,5,815,66,1
MQ,2886,LRD,DFW,4,1105,80,0
UA,120,SFO,IAD,5,553,308,0
XE,3066,RIC,EWR,1,378,72,0
WN,432,LAX,LAS,4,740,60,1
DL,2306,ATL,GRR,2,575,120,1
MQ,3726,EWR,ORD,5,600,160,1
YV,7304,IAD,JAX,3,737,116,0
F9,569,DEN,SAN,1,425,142,0
B6,1005,BOS,JFK,5,441,75,1
US,367,DCA,PHX,4,630,309,0
YV,2734,PHX,LGB,3,1068,80,1
WN,515,SAN,PHX,2,1040,70,1
AA,1820,IAH,DFW,6,725,65,0
US,1468,TPA,DCA,7,805,124,1
F9,766,LAS,DEN,6,420,110,0
AS,867,SEA,OGG,1,985,373,0
OO,6484,SEA,SFO,3,1176,122,1
OH,6693,DTW,SDF,4,920,87,0
US,457,PIT,PHX,4,440,294,1
WN,1857,DTW,MDW,6,555,75,1
AA,2536,MIA,BOS,4,1045,190,0
WN,1310,BWI,PVD,1,405,70,0
WN,1585,MDW,CMH,1,390,70,1
OO,6504,SBN,ORD,5,555,47,0
OH,6408,RIC,CVG,1,805,117,0
DL,2038,ATL,DCA,2,920,105,1
MQ,3943,ORD,TUL,6,520,120,1
EV,5414,ORF,DTW,3,750,135,0
OO,7800,TWF,SLC,5,390,55,0
XE,2133,IAH,COS,3,1285,140,1
DL,2764,ATL,PIT,5,900,106,0
AA,333,LGA,ORD,7,840,165,0
WN,535,SMF,ONT,4,700,75,1
9E,4049,ATL,GSP,7,1235,65,1
EV,5261,MEM,XNA,4,570,70,0
9E,4322,BNA,MSP,1,480,145,0
9E,4255,MSP,TVC,6,605,86,0
AA,1985,PHL,SJU,5,430,230,1
EV,7097,CMH,ORD,3,360,82,0
F9,623,DEN,DTW,6,650,164,0
WN,1165,PHX,LIT,7,965,160,1
YV,2888,PSP,PHX,2,600,67,0
WN,215,BUR,SMF,4,865,80,1
OH,6306,IAD,DTW,7,745,119,0
DL,1286,RIC,ATL,3,887,113,1
DL,424,SJU,ATL,6,928,242,1
DL,1114,SLC,BWI,2,1034,252,1
EV,4968,HSV,ATL,7,1090,64,0
WN,605,ELP,HOU,4,790,105,1
OO,6946,DEN,RNO,6,675,139,1
OO,6853,ORD,CWA,3,522,57,0
FL,92,RDU,ATL,4,645,86,1
DL,1685,LGA,MCO,6,755,175,0
UA,369,SAT,DEN,6,551,144,1
CO,338,EWR,MIA,7,390,181,0
UA,753,DEN,LGA,5,1072,217,0
DL,2181,ATL,MSY,1,1045,100,1
UA,975,IAD,SFO,2,1040,350,0
CO,458,IAH,DCA,7,775,170,0
HA,375,HNL,LIH,5,1130,37,1
XE,2530,GSO,EWR,3,855,104,0
US,1095,RDU,PHL,3,940,98,0
XE,3027,IAH,HRL,7,1055,68,0
F9,798,PDX,DEN,3,1146,138,0
OH,6295,CVG,SDF,2,675,53,1
UA,763,DEN,SAN,4,714,146,0
AA,1442,SAN,ORD,5,590,235,1
F9,510,DEN,LGA,3,645,221,1
US,1814,TPA,CLT,2,620,101,1
FL,716,LGA,CAK,6,670,96,1
MQ,4393,BOS,JFK,7,670,70,0
DL,2339,DCA,ATL,3,720,120,0
AS,7,EWR,SEA,5,1110,375,0
WN,1684,BWI,HOU,3,1090,220,1
CO,1726,EWR,SAN,3,869,357,0
OO,6335,LAX,SAN,1,921,45,1
WN,249,LIT,STL,3,975,70,0
B6,717,JFK,SJU,1,1439,220,0
MQ,3949,AZO,ORD,6,630,55,0
AS,641,PHX,SEA,1,420,188,0
OO,6228,DEN,GUC,2,676,50,1
XE,2428,LBB,IAH,5,980,94,1
DL,2050,MCI,MEM,4,985,84,0
B6,619,JFK,JAX,3,1250,157,1
XE,2981,BTR,IAH,3,718,70,0
WN,650,ABQ,MDW,2,405,165,0
DL,1523,DTW,SAT,4,1200,214,0
OO,6623,SFO,MFR,1,1214,96,1
CO,1021,CLE,PBI,5,550,173,0
9E,4308,DTW,RIC,5,845,106,0
US,948,RDU,CLT,7,1070,64,1
B6,151,JFK,PBI,4,960,188,0
OH,6363,IAD,CVG,5,675,105,0
OH,6350,DSM,MSP,5,1020,66,1
US,1267,BOS,PHL,5,330,84,0
AA,1885,DFW,FAT,1,660,215,0
WN,862,BWI,IND,3,755,110,1
AA,1415,TPA,DFW,6,990,170,1
EV,5042,OKC,ATL,7,412,127,0
OO,4612,SLC,ABQ,2,615,101,0
OO,4604,SJC,SLC,5,610,107,1
9E,4122,TUL,MEM,2,980,78,0
EV,5210,JAN,MEM,4,713,71,1
AA,1235,DFW,SNA,7,1280,190,1
OO,6350,SFO,ONT,7,700,79,1
WN,661,OAK,PDX,4,1115,100,1
OO,6286,PSP,LAS,5,753,59,1
US,632,PHX,PIT,3,605,243,0
MQ,2852,SGF,DFW,6,460,95,0
WN,1185,SFO,DEN,2,755,150,1
B6,82,SEA,JFK,6,1307,301,1
WN,2233,SLC,BOI,6,1055,70,1
AS,626,PDX,LAS,2,530,128,0
OO,4605,JAC,SLC,6,914,61,0
AA,1632,DFW,OMA,2,945,105,0
DL,2111,ATL,DFW,7,885,145,1
EV,5271,ATL,XNA,4,970,121,0
B6,1759,FLL,SJU,7,905,150,1
DL,2974,DTW,CLT,4,1160,116,0
MQ,2744,DFW,FAY,1,1140,150,1
AA,445,DCA,ORD,2,360,125,0
US,1457,CLT,FLL,3,805,119,0
WN,2527,DEN,AUS,6,480,125,0
AS,889,SAN,OGG,7,490,350,0
CO,1648,IAH,FLL,2,960,146,1
CO,370,IAH,SFO,5,865,255,1
